,Pips,Acc,Wons,Losts,Expired,Trades,Longs,Shorts,openHour,endHour,openCandles,lvlNumber,minDiff,candleMinutes,minMovement,tp,sl,waitingCandles
38,-0.004960000000001027,0.2641509433962264,3,5,45,53,42,11,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.001,0.001,5
39,0.0018199999999993972,0.3333333333333333,3,2,19,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.001,0.0015,1
40,-0.006370000000000937,0.2558139534883721,3,2,38,43,34,9,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.001,0.0015,3
41,-0.009340000000001078,0.20754716981132076,3,2,48,53,42,11,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.001,0.0015,5
42,0.003069999999999375,0.375,0,4,20,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.0015,0.001,1
43,-0.003340000000000963,0.3023255813953488,0,5,38,43,34,9,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.0015,0.001,3
44,-0.006310000000001098,0.24528301886792453,0,5,48,53,42,11,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.0015,0.001,5
45,0.0004699999999993263,0.2916666666666667,0,2,22,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.0015,0.0015,1
46,-0.007720000000001008,0.23255813953488372,0,2,41,43,34,9,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.0015,0.0015,3
47,-0.01069000000000115,0.18867924528301888,0,2,51,53,42,11,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.0015,0.0015,5
48,0.003069999999999375,0.375,0,4,20,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.002,0.001,1
49,-0.003340000000000963,0.3023255813953488,0,5,38,43,34,9,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.002,0.001,3
50,-0.006310000000001098,0.24528301886792453,0,5,48,53,42,11,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.002,0.001,5
51,0.0004699999999993263,0.2916666666666667,0,2,22,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.002,0.0015,1
52,-0.007720000000001008,0.23255813953488372,0,2,41,43,34,9,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.002,0.0015,3
53,-0.01069000000000115,0.18867924528301888,0,2,51,53,42,11,8,15,5,1,0.2,"[0, 20, 40]",0.0003,0.002,0.0015,5
54,0.0016399999999996196,0.6666666666666666,0,1,5,6,5,1,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.001,0.001,1
55,0.00015999999999885008,0.4166666666666667,2,3,19,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.001,0.001,3
56,-0.0036200000000017082,0.35294117647058826,2,3,29,34,29,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.001,0.001,5
57,-0.0006400000000005502,0.5,0,0,6,6,5,1,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.001,0.0015,1
58,-0.006180000000001489,0.2916666666666667,2,0,22,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.001,0.0015,3
59,-0.009960000000002052,0.2647058823529412,2,0,32,34,29,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.001,0.0015,5
60,0.0016399999999996196,0.6666666666666666,0,1,5,6,5,1,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.0015,0.001,1
61,-0.00012000000000126344,0.375,1,3,20,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.0015,0.001,3
62,-0.0039000000000018217,0.3235294117647059,1,3,30,34,29,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.0015,0.001,5
63,-0.0006400000000005502,0.5,0,0,6,6,5,1,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.0015,0.0015,1
64,-0.0064600000000016025,0.25,1,0,23,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.0015,0.0015,3
